,domain,article,views,date
470589,de,Cat,11,20150401
527218,de,Computer,666,20150401
1059824,de,Dog,8,20150401
2483484,de,Selfie,232,20150401
5860547,en,Cat,5941,20150401
7976343,en,Computer,6313,20150401
8482868,en,Dog,6130,20150401
16154617,en,Selfie,1822,20150401
25983477,es,Cat,4,20150401
26167930,es,Computer,1,20150401
26318063,es,Dog,8,20150401
27521858,es,Selfie,6,20150401
28269564,fr,Cat,13,20150401
28518968,fr,Computer,8,20150401
28776692,fr,Dog,1,20150401
30109138,fr,Selfie,445,20150401
464561,de,Cat,13,20150402
510511,de,Computer,673,20150402
1172001,de,Dog,8,20150402
2803362,de,Selfie,207,20150402
6367598,en,Cat,5467,20150402
8526365,en,Computer,5639,20150402
9034415,en,Dog,5882,20150402
16901757,en,Selfie,1573,20150402
26749136,es,Cat,5,20150402
27128945,es,Dog,13,20150402
28479162,es,Selfie,9,20150402
29284336,fr,Cat,17,20150402
29527255,fr,Computer,4,20150402
29786806,fr,Dog,2,20150402
31184989,fr,Selfie,417,20150402
453977,de,Cat,7,20150403
497954,de,Computer,422,20150403
1068012,de,Dog,6,20150403
2594533,de,Selfie,169,20150403
6290017,en,Cat,4511,20150403
8395306,en,Computer,5327,20150403
9013905,en,Dog,4380,20150403
16669003,en,Selfie,1266,20150403
26534770,es,Cat,4,20150403
26812847,es,Computer,4,20150403
27062560,es,Dog,10,20150403
29041201,es,Selfie,13,20150403
29895512,fr,Cat,9,20150403
30141928,fr,Computer,3,20150403
31689666,fr,Selfie,373,20150403
501088,de,Cat,8,20150404
559192,de,Computer,413,20150404
1026635,de,Dog,11,20150404
2447405,de,Selfie,154,20150404
6122475,en,Cat,4113,20150404
8180986,en,Computer,6079,20150404
8784826,en,Dog,3801,20150404
16283941,en,Selfie,1152,20150404
26404089,es,Cat,9,20150404
26703858,es,Computer,3,20150404
27025923,es,Dog,14,20150404
30423794,es,Selfie,17,20150404
31393917,fr,Cat,13,20150404
31680729,fr,Computer,1,20150404
33298267,fr,Selfie,395,20150404
571911,de,Cat,14,20150405
621089,de,Computer,426,20150405
1196330,de,Dog,9,20150405
2578606,de,Selfie,134,20150405
6406915,en,Cat,3924,20150405
8485183,en,Computer,4456,20150405
8975389,en,Dog,3716,20150405
16685421,en,Selfie,1178,20150405
26654683,es,Cat,6,20150405
26843966,es,Computer,3,20150405
27017633,es,Dog,10,20150405
28563658,es,Selfie,11,20150405
29319239,fr,Cat,8,20150405
29537520,fr,Computer,7,20150405
31115995,fr,Selfie,291,20150405
589059,de,Cat,9,20150406
643641,de,Computer,492,20150406
1358756,de,Dog,16,20150406
2870947,de,Selfie,204,20150406
6659657,en,Cat,5266,20150406
8703943,en,Computer,5794,20150406
9211809,en,Dog,5607,20150406
17417653,en,Selfie,1757,20150406
27972325,es,Cat,5,20150406
28197284,es,Computer,3,20150406
28404983,es,Dog,20,20150406
30123591,es,Selfie,12,20150406
31006805,fr,Cat,10,20150406
31243701,fr,Computer,2,20150406
33079805,fr,Selfie,473,20150406
583715,de,Cat,19,20150407
637784,de,Computer,767,20150407
1343516,de,Dog,11,20150407
2925135,de,Selfie,294,20150407
6593451,en,Cat,6079,20150407
8549365,en,Computer,5986,20150407
9064703,en,Dog,6316,20150407
16751926,en,Selfie,1746,20150407
26642588,es,Cat,9,20150407
26843555,es,Computer,4,20150407
27021548,es,Dog,17,20150407
28286882,es,Selfie,10,20150407
29080336,fr,Cat,18,20150407
29336450,fr,Computer,6,20150407
29701399,fr,Dog,2,20150407
31316485,fr,Selfie,535,20150407
590488,de,Cat,20,20150408
640854,de,Computer,882,20150408
1394558,de,Dog,6,20150408
3067193,de,Selfie,235,20150408
6989764,en,Cat,5947,20150408
8860421,en,Computer,6419,20150408
9394035,en,Dog,5896,20150408
17027928,en,Selfie,1596,20150408
27011196,es,Cat,9,20150408
27218944,es,Computer,5,20150408
27402315,es,Dog,17,20150408
28770792,es,Selfie,9,20150408
29539550,fr,Cat,14,20150408
29787423,fr,Computer,7,20150408
30127888,fr,Dog,3,20150408
31625942,fr,Selfie,565,20150408
589543,de,Cat,23,20150409
642352,de,Computer,729,20150409
1339389,de,Dog,8,20150409
3066606,de,Selfie,225,20150409
7096663,en,Cat,5457,20150409
9284447,en,Computer,5721,20150409
9838111,en,Dog,5905,20150409
17804909,en,Selfie,1686,20150409
29498461,es,Cat,9,20150409
29712104,es,Computer,1,20150409
29900992,es,Dog,22,20150409
31302027,es,Selfie,9,20150409
32116662,fr,Cat,14,20150409
32385045,fr,Computer,6,20150409
34363830,fr,Selfie,409,20150409
639494,de,Cat,15,20150410
693515,de,Computer,777,20150410
1299947,de,Dog,6,20150410
2915914,de,Selfie,216,20150410
6806743,en,Cat,5109,20150410
8862165,en,Computer,5954,20150410
9460894,en,Dog,5593,20150410
17584768,en,Selfie,1562,20150410
28454206,es,Cat,8,20150410
28675245,es,Computer,2,20150410
28879980,es,Dog,12,20150410
30509161,es,Selfie,10,20150410
31443340,fr,Cat,12,20150410
31729024,fr,Computer,4,20150410
33781916,fr,Selfie,424,20150410
527147,de,Cat,12,20150411
576269,de,Computer,602,20150411
1152837,de,Dog,7,20150411
2686109,de,Selfie,147,20150411
6148189,en,Cat,4115,20150411
8096804,en,Computer,4117,20150411
8599628,en,Dog,3814,20150411
16316053,en,Selfie,1248,20150411
26020979,es,Cat,6,20150411
26230676,es,Computer,3,20150411
26422464,es,Dog,5,20150411
27958248,es,Selfie,13,20150411
28859870,fr,Cat,19,20150411
29136905,fr,Computer,5,20150411
31009119,fr,Selfie,348,20150411
544960,de,Cat,2,20150412
595201,de,Computer,619,20150412
1222770,de,Dog,5,20150412
2867408,de,Selfie,172,20150412
6239791,en,Cat,4284,20150412
8047339,en,Computer,3880,20150412
8527801,en,Dog,4304,20150412
15908742,en,Selfie,1365,20150412
25164163,es,Cat,9,20150412
25367491,es,Computer,2,20150412
25544149,es,Dog,12,20150412
26862744,es,Selfie,16,20150412
27689578,fr,Cat,17,20150412
29933494,fr,Selfie,341,20150412
589847,de,Cat,26,20150413
644590,de,Computer,1301,20150413
1323217,de,Dog,10,20150413
2951815,de,Selfie,200,20150413
6598415,en,Cat,6019,20150413
8335315,en,Computer,5919,20150413
8875025,en,Dog,6366,20150413
16827469,en,Selfie,1597,20150413
25763018,es,Cat,5,20150413
25966445,es,Computer,2,20150413
26146933,es,Dog,14,20150413
27562988,es,Selfie,10,20150413
28323780,fr,Cat,42,20150413
28574043,fr,Computer,3,20150413
28935184,fr,Dog,1,20150413
30507660,fr,Selfie,341,20150413
648654,de,Cat,26,20150414
710590,de,Computer,1086,20150414
1542762,de,Dog,4,20150414
3283180,de,Selfie,228,20150414
7164267,en,Cat,16737,20150414
9103668,en,Computer,6141,20150414
9643620,en,Dog,6678,20150414
17699434,en,Selfie,1547,20150414
27475034,es,Cat,13,20150414
27692379,es,Computer,2,20150414
27890231,es,Dog,24,20150414
29411252,es,Selfie,14,20150414
30163790,fr,Cat,26,20150414
30409590,fr,Computer,4,20150414
32495902,fr,Selfie,414,20150414
659673,de,Cat,13,20150415
717231,de,Computer,1187,20150415
1526253,de,Dog,12,20150415
3142103,de,Selfie,182,20150415
7419990,en,Cat,5980,20150415
9698849,en,Computer,6510,20150415
10360090,en,Dog,6384,20150415
18665352,en,Selfie,1632,20150415
29983048,es,Cat,10,20150415
30210275,es,Computer,3,20150415
30406166,es,Dog,17,20150415
31997187,es,Selfie,7,20150415
32854052,fr,Cat,40,20150415
33119317,fr,Computer,9,20150415
33510153,fr,Dog,1,20150415
34980259,fr,Selfie,434,20150415
763328,de,Cat,16,20150416
826276,de,Computer,1316,20150416
1779023,de,Dog,6,20150416
3573872,de,Selfie,187,20150416
8105792,en,Cat,6226,20150416
10309832,en,Computer,6288,20150416
10963644,en,Dog,6132,20150416
19658298,en,Selfie,1567,20150416
30518905,es,Cat,3,20150416
30755360,es,Computer,2,20150416
30957969,es,Dog,31,20150416
32659376,es,Selfie,17,20150416
33586670,fr,Cat,22,20150416
33876032,fr,Computer,4,20150416
34291061,fr,Dog,4,20150416
35852248,fr,Selfie,413,20150416
657982,de,Cat,9,20150417
719367,de,Computer,1154,20150417
1522775,de,Dog,19,20150417
3329319,de,Selfie,215,20150417
7428062,en,Cat,5791,20150417
9393428,en,Computer,5556,20150417
9929806,en,Dog,6394,20150417
17928201,en,Selfie,1561,20150417
28069811,es,Cat,2,20150417
28269554,es,Computer,3,20150417
28444896,es,Dog,25,20150417
29845777,es,Selfie,16,20150417
30639137,fr,Cat,41,20150417
30894228,fr,Computer,1,20150417
32820279,fr,Selfie,1013,20150417
551856,de,Cat,8,20150418
610686,de,Computer,518,20150418
1367337,de,Dog,4,20150418
3117729,de,Selfie,159,20150418
6841756,en,Cat,4765,20150418
8694853,en,Computer,4211,20150418
9180449,en,Dog,4867,20150418
16672548,en,Selfie,1155,20150418
25462495,es,Cat,4,20150418
25641654,es,Computer,3,20150418
25791199,es,Dog,14,20150418
26978338,es,Selfie,12,20150418
27654153,fr,Cat,16,20150418
27882103,fr,Computer,1,20150418
29638970,fr,Selfie,518,20150418
513308,de,Cat,7,20150419
570264,de,Computer,664,20150419
1300979,de,Dog,8,20150419
2910773,de,Selfie,201,20150419
6515158,en,Cat,4589,20150419
8229358,en,Computer,4476,20150419
8719475,en,Dog,4435,20150419
16031294,en,Selfie,1359,20150419
24196515,es,Cat,6,20150419
24456694,es,Computer,3,20150419
24673188,es,Dog,15,20150419
26393341,es,Selfie,19,20150419
27200169,fr,Cat,18,20150419
27440542,fr,Computer,5,20150419
29188643,fr,Selfie,428,20150419
588281,de,Cat,23,20150420
647618,de,Computer,1380,20150420
1341942,de,Dog,9,20150420
2999438,de,Selfie,377,20150420
6600340,en,Cat,6181,20150420
8310119,en,Computer,6111,20150420
8825183,en,Dog,6326,20150420
16234660,en,Selfie,1699,20150420
24395456,es,Cat,15,20150420
24676377,es,Computer,6,20150420
24921683,es,Dog,25,20150420
26962148,es,Selfie,21,20150420
27826612,fr,Cat,29,20150420
28064348,fr,Computer,4,20150420
28402747,fr,Dog,1,20150420
29850675,fr,Selfie,378,20150420
560028,de,Cat,30,20150421
626354,de,Computer,1207,20150421
1366674,de,Dog,15,20150421
3018087,de,Selfie,298,20150421
6454398,en,Cat,14400,20150421
8243468,en,Computer,7039,20150421
8750155,en,Dog,6316,20150421
16123237,en,Selfie,1725,20150421
24277798,es,Cat,6,20150421
24553290,es,Computer,4,20150421
24800444,es,Dog,30,20150421
26799973,es,Selfie,6,20150421
27691215,fr,Cat,28,20150421
27961264,fr,Computer,3,20150421
28305089,fr,Dog,1,20150421
29797748,fr,Selfie,400,20150421
718869,de,Cat,18,20150422
786589,de,Computer,1139,20150422
1640102,de,Dog,8,20150422
3742789,de,Selfie,230,20150422
7612715,en,Cat,6046,20150422
9475692,en,Computer,6301,20150422
9996617,en,Dog,7049,20150422
17453464,en,Selfie,1928,20150422
26171996,es,Cat,7,20150422
26433256,es,Computer,4,20150422
26680954,es,Dog,27,20150422
29125299,es,Selfie,23,20150422
30188099,fr,Cat,27,20150422
30464034,fr,Computer,12,20150422
32448142,fr,Selfie,446,20150422
622579,de,Cat,24,20150423
687400,de,Computer,1361,20150423
1450206,de,Dog,15,20150423
3386311,de,Selfie,311,20150423
7538697,en,Cat,6328,20150423
9387693,en,Computer,6524,20150423
9934707,en,Dog,6667,20150423
17586509,en,Selfie,1598,20150423
26098485,es,Cat,5,20150423
26315029,es,Computer,3,20150423
26523505,es,Dog,35,20150423
28717038,es,Selfie,18,20150423
29574023,fr,Cat,16,20150423
29835504,fr,Computer,6,20150423
30193218,fr,Dog,1,20150423
31657854,fr,Selfie,658,20150423
543200,de,Cat,13,20150424
602097,de,Computer,1056,20150424
1258671,de,Dog,11,20150424
2915781,de,Selfie,245,20150424
6974949,en,Cat,5607,20150424
8865032,en,Computer,6028,20150424
9407760,en,Dog,6040,20150424
17168601,en,Selfie,1362,20150424
26176107,es,Cat,5,20150424
26412848,es,Computer,2,20150424
26649902,es,Dog,18,20150424
29294186,es,Selfie,14,20150424
30254139,fr,Cat,15,20150424
30522732,fr,Computer,4,20150424
32369359,fr,Selfie,424,20150424
597161,de,Cat,10,20150425
657565,de,Computer,514,20150425
1370288,de,Dog,5,20150425
3121051,de,Selfie,202,20150425
6862271,en,Cat,4460,20150425
8707097,en,Computer,3918,20150425
9243516,en,Dog,4039,20150425
16878144,en,Selfie,1188,20150425
25700007,es,Cat,5,20150425
25936111,es,Computer,1,20150425
26139248,es,Dog,11,20150425
27643196,es,Selfie,12,20150425
28488118,fr,Cat,16,20150425
28745864,fr,Computer,2,20150425
29082884,fr,Dog,1,20150425
30505281,fr,Selfie,372,20150425
792572,de,Cat,13,20150426
879811,de,Computer,626,20150426
1904096,de,Dog,6,20150426
4357516,de,Selfie,239,20150426
8984119,en,Cat,4598,20150426
10762766,en,Computer,4321,20150426
11342443,en,Dog,4619,20150426
19308755,en,Selfie,1287,20150426
27886280,es,Cat,3,20150426
28125903,es,Computer,4,20150426
28349313,es,Dog,10,20150426
29991762,es,Selfie,14,20150426
30925907,fr,Cat,17,20150426
31218121,fr,Computer,3,20150426
33266623,fr,Selfie,348,20150426
606101,de,Cat,29,20150427
665403,de,Computer,1332,20150427
1423413,de,Dog,7,20150427
3196381,de,Selfie,242,20150427
7399852,en,Cat,6303,20150427
8920174,en,Computer,6652,20150427
9444849,en,Dog,7123,20150427
16940090,en,Selfie,1644,20150427
24746410,es,Cat,4,20150427
24983601,es,Computer,8,20150427
25181935,es,Dog,21,20150427
27019169,es,Selfie,14,20150427
27845097,fr,Cat,19,20150427
28115358,fr,Computer,4,20150427
28452323,fr,Dog,2,20150427
29979508,fr,Selfie,466,20150427
553402,de,Cat,20,20150428
608844,de,Computer,1476,20150428
1283711,de,Dog,5,20150428
2915402,de,Selfie,200,20150428
6918938,en,Cat,5998,20150428
8428674,en,Computer,6420,20150428
8949111,en,Dog,6776,20150428
16271291,en,Selfie,1614,20150428
23640907,es,Cat,6,20150428
23850399,es,Computer,4,20150428
24022418,es,Dog,22,20150428
25429923,es,Selfie,19,20150428
26138532,fr,Cat,34,20150428
26422730,fr,Computer,10,20150428
28147818,fr,Selfie,430,20150428
446207,de,Cat,13,20150528
490913,de,Computer,1115,20150528
1134458,de,Dog,11,20150528
2551442,de,Selfie,292,20150528
5848658,en,Cat,5889,20150528
7302858,en,Computer,6054,20150528
7761224,en,Dog,6127,20150528
14528973,en,Selfie,1516,20150528
22475905,es,Cat,7,20150528
22707180,es,Computer,4,20150528
22908800,es,Dog,25,20150528
24161947,es,Selfie,14,20150528
24884138,fr,Cat,12,20150528
25155772,fr,Computer,2,20150528
25589017,fr,Dog,3,20150528
26988374,fr,Selfie,636,20150528
503877,de,Cat,20,20150529
551590,de,Computer,860,20150529
1158040,de,Dog,7,20150529
2780244,de,Selfie,179,20150529
6064683,en,Cat,5802,20150529
7490507,en,Computer,5769,20150529
7952476,en,Dog,5386,20150529
14571451,en,Selfie,1200,20150529
22010009,es,Cat,5,20150529
22229577,es,Computer,5,20150529
22423694,es,Dog,22,20150529
23643641,es,Selfie,10,20150529
24340398,fr,Cat,9,20150529
24613301,fr,Computer,1,20150529
26455684,fr,Selfie,721,20150529
538425,de,Cat,4,20150530
589196,de,Computer,502,20150530
1125592,de,Dog,6,20150530
2800488,de,Selfie,155,20150530
5973527,en,Cat,4059,20150530
7333649,en,Computer,4266,20150530
7778684,en,Dog,3861,20150530
14293957,en,Selfie,1336,20150530
21415742,es,Cat,3,20150530
21609181,es,Computer,4,20150530
21767865,es,Dog,13,20150530
23413918,es,Selfie,5,20150530
24173360,fr,Cat,46,20150530
24441958,fr,Computer,5,20150530
26287597,fr,Selfie,482,20150530
601753,de,Cat,9,20150531
653871,de,Computer,663,20150531
1230315,de,Dog,4,20150531
2969453,de,Selfie,193,20150531
6192416,en,Cat,4130,20150531
7574098,en,Computer,4320,20150531
8033182,en,Dog,3927,20150531
14688771,en,Selfie,1205,20150531
22077729,es,Cat,3,20150531
22274832,es,Computer,2,20150531
22439477,es,Dog,15,20150531
24129642,es,Selfie,11,20150531
24901990,fr,Cat,7,20150531
25174725,fr,Computer,2,20150531
25538154,fr,Dog,1,20150531
27039938,fr,Selfie,462,20150531
545187,de,Cat,16,20150601
595952,de,Computer,1318,20150601
1227538,de,Dog,7,20150601
2862431,de,Selfie,239,20150601
6037806,en,Cat,6028,20150601
7514659,en,Computer,7589,20150601
8013131,en,Dog,6102,20150601
15053427,en,Selfie,1427,20150601
22685935,es,Cat,5,20150601
22886016,es,Computer,5,20150601
23060402,es,Dog,32,20150601
24500338,es,Selfie,16,20150601
25258579,fr,Cat,14,20150601
25533434,fr,Computer,6,20150601
25900023,fr,Dog,3,20150601
27372443,fr,Selfie,489,20150601
487927,de,Cat,18,20150602
537428,de,Computer,1236,20150602
1188504,de,Dog,11,20150602
2739606,de,Selfie,341,20150602
5733809,en,Cat,5642,20150602
7215109,en,Computer,9020,20150602
7680539,en,Dog,6076,20150602
14939041,en,Selfie,1425,20150602
22525297,es,Cat,12,20150602
22734845,es,Computer,7,20150602
22918438,es,Dog,20,20150602
24225009,es,Selfie,14,20150602
24995190,fr,Cat,14,20150602
25256896,fr,Computer,2,20150602
25610743,fr,Dog,1,20150602
27029112,fr,Selfie,492,20150602
597377,de,Cat,16,20150603
649631,de,Computer,1242,20150603
1333638,de,Dog,14,20150603
2939368,de,Selfie,245,20150603
6228296,en,Cat,6334,20150603
7619809,en,Computer,7958,20150603
8095156,en,Dog,5712,20150603
14958954,en,Selfie,1303,20150603
22579341,es,Cat,4,20150603
22798992,es,Computer,3,20150603
22991023,es,Dog,25,20150603
24165128,es,Selfie,17,20150603
24903874,fr,Cat,24,20150603
25199317,fr,Computer,3,20150603
27111918,fr,Selfie,418,20150603
653402,de,Cat,15,20150604
704278,de,Computer,925,20150604
1428322,de,Dog,7,20150604
3025319,de,Selfie,249,20150604
6383587,en,Cat,5267,20150604
7854259,en,Computer,7816,20150604
8326505,en,Dog,5738,20150604
15254206,en,Selfie,1359,20150604
22821577,es,Cat,6,20150604
23034741,es,Computer,5,20150604
23220601,es,Dog,23,20150604
24493935,es,Selfie,12,20150604
25210374,fr,Cat,13,20150604
25487628,fr,Computer,7,20150604
27344873,fr,Selfie,388,20150604
688445,de,Cat,15,20150605
744737,de,Computer,976,20150605
1405829,de,Dog,11,20150605
3424417,de,Selfie,242,20150605
7101483,en,Cat,4827,20150605
8515563,en,Computer,5752,20150605
9008142,en,Dog,5309,20150605
15835531,en,Selfie,1337,20150605
22854214,es,Cat,4,20150605
23062274,es,Computer,5,20150605
23238516,es,Dog,30,20150605
24878605,es,Selfie,10,20150605
25605280,fr,Cat,5,20150605
25855377,fr,Computer,1,20150605
27594225,fr,Selfie,376,20150605
675343,de,Cat,7,20150606
727223,de,Computer,612,20150606
1297145,de,Dog,6,20150606
3158132,de,Selfie,166,20150606
6465212,en,Cat,4508,20150606
7897447,en,Computer,5710,20150606
8387822,en,Dog,3606,20150606
15408507,en,Selfie,1005,20150606
22511270,es,Cat,5,20150606
22708002,es,Computer,2,20150606
22873304,es,Dog,12,20150606
24391125,es,Selfie,17,20150606
25104287,fr,Cat,9,20150606
25353510,fr,Computer,4,20150606
25680791,fr,Dog,1,20150606
27071826,fr,Selfie,379,20150606
590235,de,Cat,7,20150607
645969,de,Computer,761,20150607
1267759,de,Dog,5,20150607
3031127,de,Selfie,187,20150607
6497252,en,Cat,3956,20150607
7902825,en,Computer,5287,20150607
8368509,en,Dog,3921,20150607
15229034,en,Selfie,1100,20150607
22733140,es,Cat,1,20150607
22917840,es,Computer,2,20150607
23085920,es,Dog,12,20150607
24330280,es,Selfie,12,20150607
25072518,fr,Cat,6,20150607
25697718,fr,Dog,1,20150607
27130236,fr,Selfie,349,20150607
552160,de,Cat,18,20150608
633603,de,Computer,1488,20150608
1368963,de,Dog,14,20150608
2965784,de,Selfie,299,20150608
6497261,en,Cat,5297,20150608
7941741,en,Computer,9466,20150608
8443502,en,Dog,7991,20150608
15580595,en,Selfie,1502,20150608
22973354,es,Cat,15,20150608
23171754,es,Computer,7,20150608
23355469,es,Dog,17,20150608
24740208,es,Selfie,6,20150608
25523005,fr,Cat,17,20150608
25792559,fr,Computer,4,20150608
27669244,fr,Selfie,410,20150608
466474,de,Cat,20,20150609
517910,de,Computer,1269,20150609
1144436,de,Dog,13,20150609
2778853,de,Selfie,279,20150609
6236566,en,Cat,5475,20150609
7775318,en,Computer,9675,20150609
8300670,en,Dog,5794,20150609
15821620,en,Selfie,1356,20150609
23865351,es,Cat,14,20150609
24092326,es,Computer,2,20150609
24278943,es,Dog,13,20150609
26227398,es,Selfie,11,20150609
27023842,fr,Cat,16,20150609
27308771,fr,Computer,3,20150609
27685009,fr,Dog,2,20150609
29226000,fr,Selfie,397,20150609
484116,de,Cat,23,20150610
540663,de,Computer,2077,20150610
1110208,de,Dog,18,20150610
2813471,de,Selfie,312,20150610
6253207,en,Cat,5488,20150610
7765974,en,Computer,9911,20150610
8267780,en,Dog,5379,20150610
15430319,en,Selfie,1348,20150610
23092634,es,Cat,8,20150610
23347096,es,Computer,2,20150610
23547668,es,Dog,9,20150610
25646916,es,Selfie,15,20150610
26436562,fr,Cat,8,20150610
26720618,fr,Computer,1,20150610
27083024,fr,Dog,6,20150610
28557947,fr,Selfie,431,20150610
436892,de,Cat,14,20150611
485817,de,Computer,1150,20150611
1048848,de,Dog,10,20150611
2636291,de,Selfie,318,20150611
5690888,en,Cat,25341,20150611
7212587,en,Computer,15972,20150611
7696753,en,Dog,5266,20150611
14782158,en,Selfie,1309,20150611
22246757,es,Cat,10,20150611
22490383,es,Computer,4,20150611
22682615,es,Dog,15,20150611
24538042,es,Selfie,15,20150611
25317617,fr,Cat,10,20150611
25611931,fr,Computer,5,20150611
27479569,fr,Selfie,379,20150611
459986,de,Cat,18,20150612
509621,de,Computer,829,20150612
1113451,de,Dog,12,20150612
2749370,de,Selfie,248,20150612
5548875,en,Cat,4971,20150612
6834535,en,Computer,6942,20150612
7282165,en,Dog,4657,20150612
14088656,en,Selfie,1121,20150612
20295728,es,Cat,4,20150612
20504617,es,Computer,3,20150612
20678344,es,Dog,21,20150612
21985028,es,Selfie,9,20150612
22751659,fr,Cat,4,20150612
23051846,fr,Computer,6,20150612
24982426,fr,Selfie,438,20150612
510994,de,Cat,8,20150613
558737,de,Computer,512,20150613
1151594,de,Dog,20,20150613
2752412,de,Selfie,151,20150613
5636556,en,Cat,4212,20150613
6617745,en,Computer,5705,20150613
6991828,en,Dog,4005,20150613
12443439,en,Selfie,902,20150613
17574141,es,Cat,5,20150613
17776546,es,Computer,2,20150613
17939947,es,Dog,8,20150613
19074131,es,Selfie,6,20150613
19751169,fr,Cat,8,20150613
20030232,fr,Computer,1,20150613
21840529,fr,Selfie,272,20150613
463258,de,Cat,10,20150430
515794,de,Computer,1093,20150430
1079449,de,Dog,4,20150430
2731863,de,Selfie,201,20150430
6732355,en,Cat,6226,20150430
8196941,en,Computer,12066,20150430
8698062,en,Dog,6880,20150430
15966953,en,Selfie,1549,20150430
22948355,es,Cat,4,20150430
23139166,es,Computer,3,20150430
23290886,es,Dog,25,20150430
24417982,es,Selfie,22,20150430
25158223,fr,Cat,24,20150430
25701189,fr,Dog,1,20150430
26924183,fr,Selfie,409,20150430
524431,de,Cat,3,20150501
