,domain,article,views,date
582902,de,Computer,517,20150501
1296961,de,Dog,7,20150501
2997135,de,Selfie,179,20150501
6680874,en,Cat,5064,20150501
8147671,en,Computer,4710,20150501
8641558,en,Dog,5502,20150501
15664295,en,Selfie,1627,20150501
23009591,es,Cat,4,20150501
23207780,es,Computer,5,20150501
23370278,es,Dog,33,20150501
24630288,es,Selfie,13,20150501
25423054,fr,Cat,14,20150501
25722214,fr,Computer,2,20150501
27545891,fr,Selfie,433,20150501
459346,de,Cat,4,20150502
513909,de,Computer,502,20150502
1180183,de,Dog,4,20150502
2735239,de,Selfie,164,20150502
6093449,en,Cat,3712,20150502
7506047,en,Computer,3736,20150502
7993052,en,Dog,3794,20150502
14906640,en,Selfie,1156,20150502
22154824,es,Cat,3,20150502
22349850,es,Computer,4,20150502
22510754,es,Dog,3,20150502
23777385,es,Selfie,18,20150502
24549911,fr,Cat,11,20150502
24849645,fr,Computer,5,20150502
25292664,fr,Dog,1,20150502
26726661,fr,Selfie,319,20150502
478401,de,Cat,14,20150503
534921,de,Computer,716,20150503
1191746,de,Dog,13,20150503
2822506,de,Selfie,194,20150503
6275647,en,Cat,3987,20150503
7671134,en,Computer,3690,20150503
8150965,en,Dog,3723,20150503
14946543,en,Selfie,1191,20150503
22086700,es,Cat,5,20150503
22291205,es,Computer,2,20150503
22452001,es,Dog,8,20150503
23727824,es,Selfie,7,20150503
24474942,fr,Cat,18,20150503
24765853,fr,Computer,4,20150503
26543616,fr,Selfie,341,20150503
510681,de,Cat,15,20150504
568090,de,Computer,1250,20150504
1216673,de,Dog,4,20150504
2912961,de,Selfie,247,20150504
6515125,en,Cat,5704,20150504
7936051,en,Computer,6198,20150504
8436040,en,Dog,6095,20150504
15395489,en,Selfie,1381,20150504
22642358,es,Cat,5,20150504
22852711,es,Computer,4,20150504
23021846,es,Dog,19,20150504
24392107,es,Selfie,12,20150504
25140389,fr,Cat,21,20150504
25435487,fr,Computer,1,20150504
27244215,fr,Selfie,510,20150504
551619,de,Cat,18,20150505
607469,de,Computer,1228,20150505
1245619,de,Dog,10,20150505
2885886,de,Selfie,249,20150505
6518524,en,Cat,6013,20150505
7907703,en,Computer,6538,20150505
8402336,en,Dog,6528,20150505
15394259,en,Selfie,1410,20150505
22595094,es,Cat,44,20150505
22804800,es,Computer,7,20150505
22973478,es,Dog,51,20150505
24285468,es,Selfie,15,20150505
25032883,fr,Cat,18,20150505
25329794,fr,Computer,7,20150505
25770186,fr,Dog,1,20150505
27157071,fr,Selfie,439,20150505
490885,de,Cat,14,20150506
560084,de,Computer,1724,20150506
1222402,de,Dog,10,20150506
3086274,de,Selfie,293,20150506
6939914,en,Cat,6293,20150506
8354724,en,Computer,6819,20150506
8844050,en,Dog,6881,20150506
15740052,en,Selfie,1568,20150506
22886827,es,Cat,32,20150506
23095988,es,Computer,5,20150506
23257827,es,Dog,44,20150506
24513389,es,Selfie,13,20150506
25201855,fr,Cat,15,20150506
25462058,fr,Computer,8,20150506
27133503,fr,Selfie,415,20150506
485666,de,Cat,19,20150507
540624,de,Computer,1337,20150507
1204514,de,Dog,14,20150507
2750628,de,Selfie,242,20150507
6544170,en,Cat,5793,20150507
7964211,en,Computer,6797,20150507
8455975,en,Dog,6549,20150507
15498045,en,Selfie,1462,20150507
22842920,es,Cat,9,20150507
23069805,es,Computer,5,20150507
23243304,es,Dog,26,20150507
24863436,es,Selfie,18,20150507
25583772,fr,Cat,14,20150507
25830547,fr,Computer,5,20150507
26229261,fr,Dog,2,20150507
27623373,fr,Selfie,467,20150507
462054,de,Cat,14,20150508
513555,de,Computer,975,20150508
1148629,de,Dog,12,20150508
2648425,de,Selfie,197,20150508
6317026,en,Cat,5389,20150508
7769792,en,Computer,5739,20150508
8266590,en,Dog,5732,20150508
15309562,en,Selfie,1452,20150508
22611227,es,Cat,7,20150508
22835735,es,Computer,6,20150508
23010051,es,Dog,15,20150508
24657660,es,Selfie,23,20150508
25590528,fr,Cat,9,20150508
25827205,fr,Computer,6,20150508
27545225,fr,Selfie,414,20150508
422285,de,Cat,8,20150509
476803,de,Computer,502,20150509
1022801,de,Dog,8,20150509
2380398,de,Selfie,161,20150509
5789914,en,Cat,3657,20150509
7244746,en,Computer,3924,20150509
7835052,en,Dog,3491,20150509
15102693,en,Selfie,1049,20150509
22311555,es,Cat,4,20150509
22552531,es,Computer,4,20150509
22760483,es,Dog,15,20150509
24655645,es,Selfie,10,20150509
25446603,fr,Cat,20,20150509
25675995,fr,Computer,3,20150509
27187057,fr,Selfie,300,20150509
453897,de,Cat,9,20150510
503467,de,Computer,506,20150510
1046415,de,Dog,11,20150510
2433389,de,Selfie,177,20150510
6213923,en,Cat,4079,20150510
7666092,en,Computer,4510,20150510
8191373,en,Dog,3944,20150510
15566458,en,Selfie,1153,20150510
22729567,es,Cat,3,20150510
22959440,es,Computer,1,20150510
23173177,es,Dog,8,20150510
25293876,es,Selfie,15,20150510
26075577,fr,Cat,11,20150510
26316440,fr,Computer,1,20150510
26608328,fr,Dog,1,20150510
27893923,fr,Selfie,414,20150510
512484,de,Cat,16,20150511
568282,de,Computer,1270,20150511
1242250,de,Dog,8,20150511
2787747,de,Selfie,278,20150511
6861383,en,Cat,7284,20150511
8356895,en,Computer,6667,20150511
8879263,en,Dog,6169,20150511
16460110,en,Selfie,1537,20150511
24055691,es,Cat,7,20150511
24273700,es,Computer,2,20150511
24455894,es,Dog,25,20150511
25998716,es,Selfie,16,20150511
26757590,fr,Cat,11,20150511
27012057,fr,Computer,2,20150511
28781798,fr,Selfie,454,20150511
521546,de,Cat,11,20150512
575094,de,Computer,1189,20150512
1268406,de,Dog,13,20150512
2815725,de,Selfie,270,20150512
6753427,en,Cat,6438,20150512
8196096,en,Computer,7140,20150512
8696972,en,Dog,6306,20150512
16059853,en,Selfie,1493,20150512
23762297,es,Cat,12,20150512
24005633,es,Computer,5,20150512
24213731,es,Dog,31,20150512
26047805,es,Selfie,23,20150512
26914718,fr,Cat,9,20150512
27196759,fr,Computer,1,20150512
29092868,fr,Selfie,407,20150512
518074,de,Cat,17,20150513
572852,de,Computer,902,20150513
1220812,de,Dog,9,20150513
2763333,de,Selfie,263,20150513
6623702,en,Cat,6091,20150513
8114641,en,Computer,6418,20150513
8611558,en,Dog,6591,20150513
15721900,en,Selfie,1450,20150513
23271508,es,Cat,5,20150513
23508134,es,Computer,10,20150513
23714827,es,Dog,18,20150513
25481897,es,Selfie,22,20150513
26378128,fr,Cat,8,20150513
26680537,fr,Computer,3,20150513
27053424,fr,Dog,1,20150513
28670713,fr,Selfie,499,20150513
514963,de,Cat,5,20150514
565451,de,Computer,518,20150514
1274958,de,Dog,12,20150514
2813059,de,Selfie,240,20150514
6709608,en,Cat,5951,20150514
8172444,en,Computer,6304,20150514
8667276,en,Dog,6079,20150514
15697985,en,Selfie,1417,20150514
23446888,es,Cat,10,20150514
23668893,es,Computer,2,20150514
23854930,es,Dog,19,20150514
25434900,es,Selfie,24,20150514
26255600,fr,Cat,14,20150514
26544931,fr,Computer,3,20150514
28584248,fr,Selfie,468,20150514
462490,de,Cat,7,20150515
510795,de,Computer,597,20150515
1030256,de,Dog,5,20150515
2528582,de,Selfie,205,20150515
5890099,en,Cat,5576,20150515
7321428,en,Computer,5752,20150515
7830726,en,Dog,5660,20150515
15002508,en,Selfie,1451,20150515
22856022,es,Cat,4,20150515
23059517,es,Computer,3,20150515
23220754,es,Dog,14,20150515
24450467,es,Selfie,16,20150515
25164253,fr,Cat,11,20150515
25417929,fr,Computer,2,20150515
25718750,fr,Dog,2,20150515
27086298,fr,Selfie,536,20150515
405016,de,Cat,9,20150516
448508,de,Computer,498,20150516
924845,de,Dog,8,20150516
2287270,de,Selfie,169,20150516
5314313,en,Cat,3660,20150516
6718524,en,Computer,4973,20150516
7182901,en,Dog,3749,20150516
13791670,en,Selfie,1215,20150516
20650753,es,Cat,6,20150516
20870039,es,Computer,1,20150516
21040200,es,Dog,11,20150516
22170841,es,Selfie,12,20150516
22875709,fr,Cat,13,20150516
23103150,fr,Computer,3,20150516
23369893,fr,Dog,2,20150516
24607993,fr,Selfie,426,20150516
484282,de,Cat,3,20150517
533065,de,Computer,535,20150517
1057011,de,Dog,9,20150517
2524050,de,Selfie,212,20150517
6254074,en,Cat,4240,20150517
7740739,en,Computer,4710,20150517
8231463,en,Dog,4189,20150517
15227364,en,Selfie,1295,20150517
22263448,es,Cat,5,20150517
22464844,es,Computer,1,20150517
22634119,es,Dog,8,20150517
23844546,es,Selfie,7,20150517
24612067,fr,Cat,19,20150517
26639339,fr,Selfie,360,20150517
436634,de,Cat,26,20150518
492814,de,Computer,1385,20150518
1094460,de,Dog,12,20150518
2682448,de,Selfie,260,20150518
6352263,en,Cat,5984,20150518
8017461,en,Computer,6258,20150518
8532049,en,Dog,6122,20150518
15957174,en,Selfie,1554,20150518
23303640,es,Cat,13,20150518
23508377,es,Computer,8,20150518
23679079,es,Dog,28,20150518
25226164,es,Selfie,11,20150518
26004587,fr,Cat,15,20150518
26255105,fr,Computer,1,20150518
28048432,fr,Selfie,851,20150518
476320,de,Cat,6,20150519
530666,de,Computer,1282,20150519
1166554,de,Dog,10,20150519
2879766,de,Selfie,251,20150519
6844310,en,Cat,5986,20150519
8416440,en,Computer,6345,20150519
9030056,en,Dog,6486,20150519
17073197,en,Selfie,1687,20150519
24650507,es,Cat,10,20150519
25069961,es,Dog,43,20150519
26804165,es,Selfie,19,20150519
27650129,fr,Cat,29,20150519
27917505,fr,Computer,1,20150519
29874135,fr,Selfie,687,20150519
453021,de,Cat,13,20150520
506513,de,Computer,1064,20150520
1107542,de,Dog,10,20150520
2743157,de,Selfie,283,20150520
5924655,en,Cat,6043,20150520
7433809,en,Computer,6050,20150520
7930749,en,Dog,6092,20150520
15032930,en,Selfie,1452,20150520
22622892,es,Cat,11,20150520
22830853,es,Computer,7,20150520
23003831,es,Dog,14,20150520
24379852,es,Selfie,14,20150520
25181168,fr,Cat,12,20150520
25438734,fr,Computer,5,20150520
27199373,fr,Selfie,619,20150520
548714,de,Cat,17,20150521
616410,de,Computer,1368,20150521
1247932,de,Dog,11,20150521
3104924,de,Selfie,326,20150521
6519964,en,Cat,47033,20150521
8078129,en,Computer,6075,20150521
8557946,en,Dog,5941,20150521
15606210,en,Selfie,1486,20150521
23597308,es,Cat,5,20150521
23808673,es,Computer,8,20150521
23979986,es,Dog,17,20150521
25289708,es,Selfie,8,20150521
26005241,fr,Cat,23,20150521
26272614,fr,Computer,2,20150521
28012250,fr,Selfie,502,20150521
532224,de,Cat,14,20150522
591071,de,Computer,1009,20150522
1278788,de,Dog,7,20150522
3000356,de,Selfie,222,20150522
6366789,en,Cat,20280,20150522
7910674,en,Computer,5211,20150522
8409881,en,Dog,5546,20150522
15542382,en,Selfie,1487,20150522
23042011,es,Cat,5,20150522
23401390,es,Dog,15,20150522
24605299,es,Selfie,16,20150522
25378823,fr,Cat,14,20150522
25663754,fr,Computer,3,20150522
27518978,fr,Selfie,557,20150522
563461,de,Cat,15,20150523
618517,de,Computer,512,20150523
1211071,de,Dog,8,20150523
2904228,de,Selfie,177,20150523
6016606,en,Cat,3767,20150523
7481439,en,Computer,3924,20150523
7950687,en,Dog,3917,20150523
14677521,en,Selfie,1173,20150523
21722550,es,Cat,6,20150523
21915976,es,Computer,1,20150523
22064955,es,Dog,12,20150523
23212828,es,Selfie,7,20150523
23938326,fr,Cat,10,20150523
24219020,fr,Computer,1,20150523
25977788,fr,Selfie,672,20150523
489098,de,Cat,7,20150524
538043,de,Computer,561,20150524
1019600,de,Dog,8,20150524
2718632,de,Selfie,186,20150524
6110835,en,Cat,3702,20150524
7605842,en,Computer,3919,20150524
8059809,en,Dog,3688,20150524
14692827,en,Selfie,1903,20150524
22395593,es,Cat,5,20150524
22601559,es,Computer,7,20150524
22764053,es,Dog,14,20150524
24383850,es,Selfie,17,20150524
25195155,fr,Cat,32,20150524
25489772,fr,Computer,2,20150524
25861027,fr,Dog,1,20150524
27481931,fr,Selfie,638,20150524
481711,de,Cat,8,20150525
531173,de,Computer,576,20150525
1054693,de,Dog,10,20150525
2724489,de,Selfie,254,20150525
6227591,en,Cat,4544,20150525
7682537,en,Computer,5830,20150525
8154837,en,Dog,4701,20150525
14814823,en,Selfie,1930,20150525
22539925,es,Cat,5,20150525
22747324,es,Computer,2,20150525
22914012,es,Dog,14,20150525
24562406,es,Selfie,19,20150525
25371099,fr,Cat,9,20150525
25658997,fr,Computer,8,20150525
27664877,fr,Selfie,857,20150525
504284,de,Cat,20,20150526
553856,de,Computer,945,20150526
1118221,de,Dog,12,20150526
2674912,de,Selfie,240,20150526
6007155,en,Cat,5747,20150526
7511260,en,Computer,5802,20150526
8014925,en,Dog,5680,20150526
15116322,en,Selfie,1609,20150526
22947926,es,Cat,5,20150526
23151494,es,Computer,4,20150526
23319253,es,Dog,30,20150526
24612846,es,Selfie,9,20150526
25341912,fr,Cat,31,20150526
25601353,fr,Computer,3,20150526
27328047,fr,Selfie,648,20150526
562952,de,Cat,21,20150615
612916,de,Computer,1198,20150615
1243034,de,Dog,50,20150615
2699244,de,Selfie,325,20150615
5602845,en,Cat,4933,20150615
6665529,en,Computer,9941,20150615
7072971,en,Dog,3860,20150615
12766951,en,Selfie,1196,20150615
18048367,es,Cat,8,20150615
18260147,es,Computer,1,20150615
18439796,es,Dog,8,20150615
19828096,es,Selfie,22,20150615
20515629,fr,Cat,14,20150615
20784386,fr,Computer,4,20150615
22569371,fr,Selfie,334,20150615
419530,de,Cat,11,20150616
461211,de,Computer,1281,20150616
951337,de,Dog,8,20150616
2203648,de,Selfie,215,20150616
4918736,en,Cat,4585,20150616
5919985,en,Computer,12669,20150616
6357370,en,Dog,3446,20150616
12415500,en,Selfie,1071,20150616
17988421,es,Cat,3,20150616
18183620,es,Computer,4,20150616
18331720,es,Dog,16,20150616
19535540,es,Selfie,15,20150616
20143221,fr,Cat,13,20150616
20390707,fr,Computer,4,20150616
20699633,fr,Dog,2,20150616
21866157,fr,Selfie,317,20150616
530339,de,Cat,16,20150617
573289,de,Computer,1084,20150617
1067949,de,Dog,11,20150617
2378356,de,Selfie,213,20150617
5012534,en,Cat,3969,20150617
5894241,en,Computer,11243,20150617
6275224,en,Dog,2696,20150617
11975424,en,Selfie,1202,20150617
17126229,es,Cat,10,20150617
17300490,es,Computer,1,20150617
17433448,es,Dog,4,20150617
18581942,es,Selfie,13,20150617
19170357,fr,Cat,9,20150617
19399042,fr,Computer,4,20150617
20831439,fr,Selfie,326,20150617
346003,de,Cat,13,20150618
383923,de,Computer,1050,20150618
827749,de,Dog,6,20150618
1942336,de,Selfie,214,20150618
4419807,en,Cat,3847,20150618
5242604,en,Computer,8440,20150618
5645879,en,Dog,2253,20150618
11439578,en,Selfie,1143,20150618
16584401,es,Cat,5,20150618
16746792,es,Computer,4,20150618
16874119,es,Dog,9,20150618
18007597,es,Selfie,10,20150618
18553001,fr,Cat,26,20150618
18760357,fr,Computer,2,20150618
20120738,fr,Selfie,276,20150618
364033,de,Cat,15,20150619
402852,de,Computer,863,20150619
884655,de,Dog,3,20150619
2000196,de,Selfie,219,20150619
4702835,en,Cat,3006,20150619
5571137,en,Computer,7113,20150619
5993665,en,Dog,2236,20150619
12068832,en,Selfie,1162,20150619
17598385,es,Cat,13,20150619
17867706,es,Dog,2,20150619
18819821,es,Selfie,11,20150619
19315454,fr,Cat,12,20150619
19494390,fr,Computer,2,20150619
20753741,fr,Selfie,309,20150619
349342,de,Cat,5,20150620
386290,de,Computer,391,20150620
842525,de,Dog,4,20150620
1944915,de,Selfie,191,20150620
4709400,en,Cat,2156,20150620
5534649,en,Computer,6008,20150620
5949091,en,Dog,1455,20150620
11790543,en,Selfie,976,20150620
16876107,es,Cat,1,20150620
17041254,es,Computer,2,20150620
17170320,es,Dog,5,20150620
18110736,es,Selfie,22,20150620
18628239,fr,Cat,5,20150620
20072341,fr,Selfie,266,20150620
334878,de,Cat,10,20150621
372230,de,Computer,624,20150621
826735,de,Dog,5,20150621
1924284,de,Selfie,248,20150621
4392377,en,Cat,1937,20150621
5188762,en,Computer,7203,20150621
5589141,en,Dog,1430,20150621
11247914,en,Selfie,987,20150621
15857794,es,Cat,4,20150621
16031643,es,Computer,1,20150621
16165215,es,Dog,4,20150621
17108492,es,Selfie,10,20150621
17629814,fr,Cat,5,20150621
17811633,fr,Computer,2,20150621
19060357,fr,Selfie,314,20150621
475697,de,Cat,20,20150622
516639,de,Computer,962,20150622
1017358,de,Dog,5,20150622
2266356,de,Selfie,247,20150622
4888921,en,Cat,2299,20150622
5736166,en,Computer,8986,20150622
6149317,en,Dog,2193,20150622
11842822,en,Selfie,1043,20150622
16620003,es,Cat,6,20150622
16828892,es,Computer,6,20150622
16980877,es,Dog,3,20150622
18202556,es,Selfie,23,20150622
18798491,fr,Cat,5,20150622
19001202,fr,Computer,1,20150622
20459703,fr,Selfie,453,20150622
389965,de,Cat,19,20150623
430623,de,Computer,1016,20150623
980629,de,Dog,6,20150623
2208615,de,Selfie,228,20150623
4863562,en,Cat,2928,20150623
5784432,en,Computer,8692,20150623
6197693,en,Dog,2675,20150623
12026344,en,Selfie,1281,20150623
17060237,es,Cat,9,20150623
17231044,es,Computer,6,20150623
17364292,es,Dog,9,20150623
18613338,es,Selfie,15,20150623
19182207,fr,Cat,11,20150623
19373213,fr,Computer,1,20150623
20790886,fr,Selfie,329,20150623
388504,de,Cat,17,20150624
430810,de,Computer,968,20150624
977083,de,Dog,4,20150624
2256936,de,Selfie,320,20150624
4881751,en,Cat,3335,20150624
5910234,en,Computer,8030,20150624
6314742,en,Dog,2813,20150624
12084980,en,Selfie,1075,20150624
16942557,es,Cat,8,20150624
17119764,es,Computer,9,20150624
17262449,es,Dog,4,20150624
18439165,es,Selfie,13,20150624
19048943,fr,Cat,11,20150624
19264025,fr,Computer,4,20150624
20705068,fr,Selfie,273,20150624
376058,de,Cat,13,20150625
421395,de,Computer,850,20150625
826465,de,Dog,7,20150625
2151606,de,Selfie,236,20150625
4787523,en,Cat,3659,20150625
5760090,en,Computer,7107,20150625
6177136,en,Dog,2907,20150625
11999302,en,Selfie,1124,20150625
16337883,es,Cat,2,20150625
16499764,es,Computer,2,20150625
16620317,es,Dog,9,20150625
17675874,es,Selfie,13,20150625
18225597,fr,Cat,3,20150625
18412128,fr,Computer,2,20150625
19586125,fr,Selfie,300,20150625
348602,de,Cat,9,20150626
388483,de,Computer,614,20150626
803336,de,Dog,7,20150626
1986439,de,Selfie,190,20150626
4612852,en,Cat,3989,20150626
5796078,en,Computer,5050,20150626
6202606,en,Dog,3250,20150626
12030222,en,Selfie,994,20150626
16276732,es,Cat,3,20150626
16439360,es,Computer,3,20150626
16548196,es,Dog,10,20150626
17470804,es,Selfie,8,20150626
17974222,fr,Cat,4,20150626
18139361,fr,Computer,1,20150626
18266405,fr,Dog,1,20150626
19207244,fr,Selfie,261,20150626
561580,de,Cat,10,20150627
597651,de,Computer,347,20150627
1005819,de,Dog,6,20150627
2144976,de,Selfie,210,20150627
4678378,en,Cat,3445,20150627
5549543,en,Computer,4678,20150627
5909381,en,Dog,3764,20150627
11401184,en,Selfie,939,20150627
15126922,es,Cat,5,20150627
15274484,es,Computer,2,20150627
15378579,es,Dog,7,20150627
16134384,es,Selfie,10,20150627
16599631,fr,Cat,9,20150627
16758825,fr,Computer,2,20150627
17706854,fr,Selfie,1401,20150627
403396,de,Cat,7,20150628
441961,de,Computer,410,20150628
882436,de,Dog,7,20150628
2118345,de,Selfie,418,20150628
4519107,en,Cat,3545,20150628
5504213,en,Computer,5135,20150628
5857427,en,Dog,6251,20150628
11341262,en,Selfie,1098,20150628
15238037,es,Cat,3,20150628
15383316,es,Computer,2,20150628
15483135,es,Dog,8,20150628
16261717,es,Selfie,14,20150628
16718549,fr,Cat,74,20150628
17937388,fr,Selfie,2436,20150628
416955,de,Cat,16,20150629
454696,de,Computer,1040,20150629
849818,de,Dog,11,20150629
1921383,de,Selfie,395,20150629
4113087,en,Cat,4327,20150629
5258901,en,Computer,6051,20150629
5618217,en,Dog,5502,20150629
11079117,en,Selfie,1299,20150629
15138942,es,Cat,8,20150629
15386453,es,Dog,10,20150629
16128992,es,Selfie,9,20150629
16586143,fr,Cat,95,20150629
16733444,fr,Computer,4,20150629
17739801,fr,Selfie,1576,20150629
481307,de,Cat,5,20150630
519527,de,Computer,825,20150630
888789,de,Dog,7,20150630
1979073,de,Selfie,274,20150630
4076064,en,Cat,4054,20150630
5338424,en,Computer,6951,20150630
5701610,en,Dog,4519,20150630
11020726,en,Selfie,1207,20150630
15207478,es,Cat,4,20150630
15362066,es,Computer,3,20150630
15471945,es,Dog,18,20150630
16223551,es,Selfie,16,20150630
16726283,fr,Cat,82,20150630
16890849,fr,Computer,3,20150630
17024637,fr,Dog,2,20150630
17946813,fr,Selfie,808,20150630
386851,de,Cat,11,20150701
465365,de,Computer,742,20150701
958675,de,Dog,7,20150701
2151754,de,Selfie,262,20150701
5286202,en,Cat,3707,20150701
6462142,en,Computer,6238,20150701
6852716,en,Dog,4499,20150701
12432320,en,Selfie,1182,20150701
16431886,es,Cat,4,20150701
16596948,es,Computer,4,20150701
16712502,es,Dog,8,20150701
17624940,es,Selfie,13,20150701
18150377,fr,Cat,7,20150701
18325179,fr,Computer,3,20150701
19501587,fr,Selfie,621,20150701
377524,de,Cat,15,20150702
419974,de,Computer,754,20150702
817778,de,Dog,15,20150702
2176995,de,Selfie,253,20150702
4935805,en,Cat,3837,20150702
6293015,en,Computer,5895,20150702
6720481,en,Dog,4348,20150702
12227868,en,Selfie,1190,20150702
16658543,es,Cat,4,20150702
16828011,es,Computer,1,20150702
16946844,es,Dog,19,20150702
17947669,es,Selfie,12,20150702
18494173,fr,Cat,3,20150702
18665838,fr,Computer,4,20150702
19828439,fr,Selfie,439,20150702
474105,de,Cat,11,20150429
528347,de,Computer,1152,20150429
1166043,de,Dog,7,20150429
2752752,de,Selfie,246,20150429
6552245,en,Cat,7365,20150429
7989786,en,Computer,6455,20150429
8500325,en,Dog,6666,20150429
15743098,en,Selfie,1614,20150429
22909172,es,Cat,3,20150429
23104005,es,Computer,4,20150429
23263374,es,Dog,23,20150429
24437770,es,Selfie,18,20150429
25168598,fr,Cat,20,20150429
25414581,fr,Computer,6,20150429
25723085,fr,Dog,1,20150429
27138274,fr,Selfie,442,20150429
525331,de,Cat,14,20150527
574475,de,Computer,895,20150527
1146661,de,Dog,7,20150527
2615836,de,Selfie,277,20150527
5936561,en,Cat,5406,20150527
7435852,en,Computer,5914,20150527
7903058,en,Dog,5576,20150527
14799198,en,Selfie,1527,20150527
22797531,es,Cat,14,20150527
22997175,es,Computer,4,20150527
23163738,es,Dog,12,20150527
24404879,es,Selfie,13,20150527
25115646,fr,Cat,18,20150527
25357823,fr,Computer,3,20150527
25666032,fr,Dog,1,20150527
26967857,fr,Selfie,786,20150527
727217,de,Cat,14,20150614
782378,de,Computer,679,20150614
1519306,de,Dog,58,20150614
3243936,de,Selfie,236,20150614
6221011,en,Cat,4541,20150614
7190283,en,Computer,6691,20150614
7564278,en,Dog,3251,20150614
13050483,en,Selfie,962,20150614
18052774,es,Cat,8,20150614
18269762,es,Computer,2,20150614
18456051,es,Dog,8,20150614
19673274,es,Selfie,9,20150614
20350947,fr,Cat,12,20150614
21178711,fr,Dog,1,20150614
22556471,fr,Selfie,316,20150614
